,sig_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,distil_id
395,LJP005_A549_24H:A19,BRD-K78431006,crizotinib,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:A19|LJP005_A549_24H_X2_B19:A19
396,LJP005_A549_24H:A20,BRD-K78431006,crizotinib,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:A20|LJP005_A549_24H_X2_B19:A20|LJP005_A549_24H_X3_B19:A20
397,LJP005_A549_24H:A21,BRD-K78431006,crizotinib,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:A21|LJP005_A549_24H_X2_B19:A21|LJP005_A549_24H_X3_B19:A21
398,LJP005_A549_24H:A22,BRD-K78431006,crizotinib,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:A22|LJP005_A549_24H_X2_B19:A22|LJP005_A549_24H_X3_B19:A22
409,LJP005_A549_24H:B13,BRD-K59369769,tozasertib,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:B13|LJP005_A549_24H_X2_B19:B13|LJP005_A549_24H_X3_B19:B13
410,LJP005_A549_24H:B14,BRD-K59369769,tozasertib,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:B14|LJP005_A549_24H_X2_B19:B14|LJP005_A549_24H_X3_B19:B14
411,LJP005_A549_24H:B15,BRD-K59369769,tozasertib,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:B15|LJP005_A549_24H_X2_B19:B15|LJP005_A549_24H_X3_B19:B15
412,LJP005_A549_24H:B16,BRD-K59369769,tozasertib,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:B16|LJP005_A549_24H_X2_B19:B16|LJP005_A549_24H_X3_B19:B16
413,LJP005_A549_24H:B17,BRD-K59369769,tozasertib,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:B17|LJP005_A549_24H_X2_B19:B17|LJP005_A549_24H_X3_B19:B17
414,LJP005_A549_24H:B18,BRD-K59369769,tozasertib,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:B18|LJP005_A549_24H_X2_B19:B18|LJP005_A549_24H_X3_B19:B18
421,LJP005_A549_24H:C01,BRD-K49865102,PD-0325901,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:C01|LJP005_A549_24H_X2_B19:C01|LJP005_A549_24H_X3_B19:C01
422,LJP005_A549_24H:C02,BRD-K49865102,PD-0325901,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:C02|LJP005_A549_24H_X2_B19:C02|LJP005_A549_24H_X3_B19:C02
423,LJP005_A549_24H:C03,BRD-K49865102,PD-0325901,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:C03|LJP005_A549_24H_X2_B19:C03|LJP005_A549_24H_X3_B19:C03
424,LJP005_A549_24H:C04,BRD-K49865102,PD-0325901,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:C04|LJP005_A549_24H_X2_B19:C04|LJP005_A549_24H_X3_B19:C04
425,LJP005_A549_24H:C05,BRD-K49865102,PD-0325901,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:C05|LJP005_A549_24H_X2_B19:C05|LJP005_A549_24H_X3_B19:C05
426,LJP005_A549_24H:C06,BRD-K49865102,PD-0325901,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:C06|LJP005_A549_24H_X2_B19:C06|LJP005_A549_24H_X3_B19:C06
427,LJP005_A549_24H:C07,BRD-K00337317,NU-7441,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:C07|LJP005_A549_24H_X2_B19:C07|LJP005_A549_24H_X3_B19:C07
428,LJP005_A549_24H:C08,BRD-K00337317,NU-7441,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:C08|LJP005_A549_24H_X2_B19:C08|LJP005_A549_24H_X3_B19:C08
429,LJP005_A549_24H:C09,BRD-K00337317,NU-7441,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:C09|LJP005_A549_24H_X2_B19:C09|LJP005_A549_24H_X3_B19:C09
430,LJP005_A549_24H:C10,BRD-K00337317,NU-7441,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:C10|LJP005_A549_24H_X2_B19:C10|LJP005_A549_24H_X3_B19:C10
431,LJP005_A549_24H:C11,BRD-K00337317,NU-7441,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:C11|LJP005_A549_24H_X2_B19:C11|LJP005_A549_24H_X3_B19:C11
432,LJP005_A549_24H:C12,BRD-K00337317,NU-7441,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:C12|LJP005_A549_24H_X2_B19:C12|LJP005_A549_24H_X3_B19:C12
439,LJP005_A549_24H:C19,BRD-K21680192,mitoxantrone,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:C19|LJP005_A549_24H_X2_B19:C19|LJP005_A549_24H_X3_B19:C19
440,LJP005_A549_24H:C20,BRD-K21680192,mitoxantrone,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:C20|LJP005_A549_24H_X2_B19:C20|LJP005_A549_24H_X3_B19:C20
441,LJP005_A549_24H:C21,BRD-K21680192,mitoxantrone,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:C21|LJP005_A549_24H_X2_B19:C21|LJP005_A549_24H_X3_B19:C21
442,LJP005_A549_24H:C22,BRD-K21680192,mitoxantrone,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:C22|LJP005_A549_24H_X2_B19:C22|LJP005_A549_24H_X3_B19:C22
443,LJP005_A549_24H:C23,BRD-K21680192,mitoxantrone,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:C23|LJP005_A549_24H_X2_B19:C23|LJP005_A549_24H_X3_B19:C23
444,LJP005_A549_24H:C24,BRD-K21680192,mitoxantrone,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:C24|LJP005_A549_24H_X2_B19:C24|LJP005_A549_24H_X3_B19:C24
445,LJP005_A549_24H:D01,BRD-K49328571,dasatinib,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:D01|LJP005_A549_24H_X2_B19:D01|LJP005_A549_24H_X3_B19:D01
446,LJP005_A549_24H:D02,BRD-K49328571,dasatinib,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:D02|LJP005_A549_24H_X2_B19:D02|LJP005_A549_24H_X3_B19:D02
447,LJP005_A549_24H:D03,BRD-K49328571,dasatinib,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:D03|LJP005_A549_24H_X2_B19:D03|LJP005_A549_24H_X3_B19:D03
448,LJP005_A549_24H:D04,BRD-K49328571,dasatinib,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:D04|LJP005_A549_24H_X2_B19:D04|LJP005_A549_24H_X3_B19:D04
449,LJP005_A549_24H:D05,BRD-K49328571,dasatinib,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:D05|LJP005_A549_24H_X2_B19:D05|LJP005_A549_24H_X3_B19:D05
450,LJP005_A549_24H:D06,BRD-K49328571,dasatinib,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:D06|LJP005_A549_24H_X2_B19:D06|LJP005_A549_24H_X3_B19:D06
451,LJP005_A549_24H:D07,BRD-K63923597,barasertib-HQPA,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:D07|LJP005_A549_24H_X2_B19:D07|LJP005_A549_24H_X3_B19:D07
452,LJP005_A549_24H:D08,BRD-K63923597,barasertib-HQPA,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:D08|LJP005_A549_24H_X2_B19:D08|LJP005_A549_24H_X3_B19:D08
453,LJP005_A549_24H:D09,BRD-K63923597,barasertib-HQPA,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:D09|LJP005_A549_24H_X2_B19:D09|LJP005_A549_24H_X3_B19:D09
454,LJP005_A549_24H:D10,BRD-K63923597,barasertib-HQPA,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:D10|LJP005_A549_24H_X2_B19:D10|LJP005_A549_24H_X3_B19:D10
455,LJP005_A549_24H:D11,BRD-K63923597,barasertib-HQPA,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:D11|LJP005_A549_24H_X2_B19:D11|LJP005_A549_24H_X3_B19:D11
456,LJP005_A549_24H:D12,BRD-K63923597,barasertib-HQPA,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:D12|LJP005_A549_24H_X2_B19:D12|LJP005_A549_24H_X3_B19:D12
541,LJP005_A549_24H:H01,BRD-K42191735,buparlisib,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:H01|LJP005_A549_24H_X2_B19:H01|LJP005_A549_24H_X3_B19:H01
542,LJP005_A549_24H:H02,BRD-K42191735,buparlisib,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:H02|LJP005_A549_24H_X2_B19:H02|LJP005_A549_24H_X3_B19:H02
543,LJP005_A549_24H:H03,BRD-K42191735,buparlisib,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:H03|LJP005_A549_24H_X2_B19:H03|LJP005_A549_24H_X3_B19:H03
544,LJP005_A549_24H:H04,BRD-K42191735,buparlisib,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:H04|LJP005_A549_24H_X2_B19:H04
545,LJP005_A549_24H:H05,BRD-K42191735,buparlisib,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:H05|LJP005_A549_24H_X2_B19:H05|LJP005_A549_24H_X3_B19:H05
546,LJP005_A549_24H:H06,BRD-K42191735,buparlisib,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:H06|LJP005_A549_24H_X2_B19:H06|LJP005_A549_24H_X3_B19:H06
553,LJP005_A549_24H:H13,BRD-K65182930,NVP-AUY922,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:H13|LJP005_A549_24H_X2_B19:H13|LJP005_A549_24H_X3_B19:H13
554,LJP005_A549_24H:H14,BRD-K65182930,NVP-AUY922,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:H14|LJP005_A549_24H_X2_B19:H14|LJP005_A549_24H_X3_B19:H14
555,LJP005_A549_24H:H15,BRD-K65182930,NVP-AUY922,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:H15|LJP005_A549_24H_X2_B19:H15|LJP005_A549_24H_X3_B19:H15
556,LJP005_A549_24H:H16,BRD-K65182930,NVP-AUY922,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:H16|LJP005_A549_24H_X2_B19:H16|LJP005_A549_24H_X3_B19:H16
557,LJP005_A549_24H:H17,BRD-K65182930,NVP-AUY922,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:H17|LJP005_A549_24H_X2_B19:H17|LJP005_A549_24H_X3_B19:H17
558,LJP005_A549_24H:H18,BRD-K65182930,NVP-AUY922,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:H18|LJP005_A549_24H_X2_B19:H18|LJP005_A549_24H_X3_B19:H18
559,LJP005_A549_24H:H19,BRD-A41692738,TGX-221,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:H19|LJP005_A549_24H_X2_B19:H19|LJP005_A549_24H_X3_B19:H19
560,LJP005_A549_24H:H20,BRD-A41692738,TGX-221,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:H20|LJP005_A549_24H_X2_B19:H20|LJP005_A549_24H_X3_B19:H20
561,LJP005_A549_24H:H21,BRD-A41692738,TGX-221,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:H21|LJP005_A549_24H_X2_B19:H21|LJP005_A549_24H_X3_B19:H21
562,LJP005_A549_24H:H22,BRD-A41692738,TGX-221,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:H22|LJP005_A549_24H_X2_B19:H22|LJP005_A549_24H_X3_B19:H22
563,LJP005_A549_24H:H23,BRD-A41692738,TGX-221,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:H23|LJP005_A549_24H_X2_B19:H23|LJP005_A549_24H_X3_B19:H23
564,LJP005_A549_24H:H24,BRD-A41692738,TGX-221,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:H24|LJP005_A549_24H_X2_B19:H24|LJP005_A549_24H_X3_B19:H24
583,LJP005_A549_24H:I19,BRD-K68174511,torin-2,trt_cp,A549,10.0 um,24 h,LJP005_A549_24H_X1_B19:I19|LJP005_A549_24H_X2_B19:I19|LJP005_A549_24H_X3_B19:I19
584,LJP005_A549_24H:I20,BRD-K68174511,torin-2,trt_cp,A549,3.33 um,24 h,LJP005_A549_24H_X1_B19:I20|LJP005_A549_24H_X2_B19:I20|LJP005_A549_24H_X3_B19:I20
585,LJP005_A549_24H:I21,BRD-K68174511,torin-2,trt_cp,A549,1.11 um,24 h,LJP005_A549_24H_X1_B19:I21|LJP005_A549_24H_X2_B19:I21|LJP005_A549_24H_X3_B19:I21
586,LJP005_A549_24H:I22,BRD-K68174511,torin-2,trt_cp,A549,0.37 um,24 h,LJP005_A549_24H_X1_B19:I22|LJP005_A549_24H_X2_B19:I22|LJP005_A549_24H_X3_B19:I22
587,LJP005_A549_24H:I23,BRD-K68174511,torin-2,trt_cp,A549,0.12 um,24 h,LJP005_A549_24H_X1_B19:I23|LJP005_A549_24H_X2_B19:I23|LJP005_A549_24H_X3_B19:I23
588,LJP005_A549_24H:I24,BRD-K68174511,torin-2,trt_cp,A549,0.04 um,24 h,LJP005_A549_24H_X1_B19:I24|LJP005_A549_24H_X2_B19:I24|LJP005_A549_24H_X3_B19:I24
