,sig_id,pert_id,pert_iname,pert_type,cell_id,pert_dose,pert_dose_unit,pert_idose,pert_time,pert_time_unit,pert_itime,distil_id
50157,CPC004_HEPG2_6H:BRD-A00546892-001-01-8:10,BRD-A00546892,biperiden,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:J19|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:J19|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:J19
50167,CPC004_HEPG2_6H:BRD-A06352418-001-15-0:10,BRD-A06352418,terfenadine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:F18|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:F18|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:F18
50168,CPC004_HEPG2_6H:BRD-A06352508-001-02-9:10,BRD-A06352508,SB-218078,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:A14|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:A14|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:A14
50170,CPC004_HEPG2_6H:BRD-A07440155-003-16-3:10,BRD-A07440155,labetalol,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:B22|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:B22|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:B22
50174,CPC004_HEPG2_6H:BRD-A09472452-015-11-9:10,BRD-A09472452,flecainide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:A09|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:A09|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:A09
50177,CPC004_HEPG2_6H:BRD-A10977446-001-05-5:10,BRD-A10977446,carvedilol,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L04|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L04|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L04
50178,CPC004_HEPG2_6H:BRD-A11678676-001-03-4:10,BRD-A11678676,wortmannin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:A08|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:A08|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:A08
50180,CPC004_HEPG2_6H:BRD-A15131297-003-01-9:10,BRD-A15131297,benazepril,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:M05|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:M05|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:M05
50184,CPC004_HEPG2_6H:BRD-A18917088-001-03-1:10,BRD-A18917088,estradiol,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:I13|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:I13|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:I13
50186,CPC004_HEPG2_6H:BRD-A19195498-050-09-1:10,BRD-A19195498,trimipramine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:I02|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:I02|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:I02
50190,CPC004_HEPG2_6H:BRD-A22143024-231-02-0:10,BRD-A22143024,estropipate,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L20|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L20|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L20
50193,CPC004_HEPG2_6H:BRD-A25687296-300-03-5:10,BRD-A25687296,emetine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:I05|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:I05|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:I05
50195,CPC004_HEPG2_6H:BRD-A26384407-001-15-2:10,BRD-A26384407,chlorthalidone,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:C11|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:C11|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:C11
50201,CPC004_HEPG2_6H:BRD-A29426959-050-07-4:10,BRD-A29426959,carbinoxamine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:F11|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:F11|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:F11
50202,CPC004_HEPG2_6H:BRD-A29734509-011-06-0:10,BRD-A29734509,disopyramide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:G21|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:G21|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:G21
50205,CPC004_HEPG2_6H:BRD-A34255068-001-16-2:10,BRD-A34255068,rolipram,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L23|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L23|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L23
50212,CPC004_HEPG2_6H:BRD-A40639672-234-09-9:10,BRD-A40639672,ketorolac,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:H12|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:H12|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:H12
50223,CPC004_HEPG2_6H:BRD-A48430263-003-06-5:10,BRD-A48430263,pioglitazone,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L08|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L08|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L08
50224,CPC004_HEPG2_6H:BRD-A49160188-003-04-4:10,BRD-A49160188,donepezil,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L10|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L10|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L10
50236,CPC004_HEPG2_6H:BRD-A58048407-001-09-7:10,BRD-A58048407,nimodipine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:F10|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:F10|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:F10
50240,CPC004_HEPG2_6H:BRD-A61793559-001-08-1:10,BRD-A61793559,metolazone,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:I09|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:I09|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:I09
50241,CPC004_HEPG2_6H:BRD-A62184259-001-02-8:10,BRD-A62184259,cycloheximide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:A05|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:A05|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:A05
50243,CPC004_HEPG2_6H:BRD-A64092382-003-09-2:10,BRD-A64092382,mexiletine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:H14|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:H14|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:H14
50245,CPC004_HEPG2_6H:BRD-A64977602-001-04-3:10,BRD-A64977602,mirtazapine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:A16|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:A16|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:A16
50252,CPC004_HEPG2_6H:BRD-A69636825-003-03-9:10,BRD-A69636825,diltiazem,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:D01|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:D01|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:D01
50257,CPC004_HEPG2_6H:BRD-A73368467-003-07-7:10,BRD-A73368467,fexofenadine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:J10|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:J10|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:J10
50260,CPC004_HEPG2_6H:BRD-A74667430-001-15-2:10,BRD-A74667430,etodolac,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:E02|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:E02
