,pubchem_smiles,std_canonical_smiles,std_inchi_key
62379,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],CCCCCCCCCCCCCC[n+]1ccccc1,SIHFYNZIBKOFFK-UHFFFAOYSA-N
6321405,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2O,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,DTGKSKDOIYIVQL-MRTMQBJTSA-N
118703,CCCC1C(=CC(=CN1C2=CC=CC=C2)CC)CC,CCCC1C(CC)=CC(CC)=CN1c1ccccc1,IAAASXBHFUJLHW-UHFFFAOYSA-N
81882,CCCCOC(=O)CO,CCCCOC(=O)CO,VFGRALUHHHDIQI-UHFFFAOYSA-N
2337,CCOC(=O)C1=CC=C(C=C1)N,CCOC(=O)c1ccc(N)cc1,BLFLLBZGZJTVJG-UHFFFAOYSA-N
8152,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],CCCCCCCCCCCC[N+](C)(C)C,VICYBMUVWHJEFT-UHFFFAOYSA-N
9955578,C[C@H](C(=O)O)OC1=CC(=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC4=C(C=C3)OCO4)F,C[C@@H](Oc1cc(F)c(CNC(=O)c2cccnc2Oc2cc3c(cc2)OCO3)cc1)C(=O)O,CNIGFESSDPOCKS-CYBMUJFWSA-N
4101,C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3,VKYKSIONXSXAKP-UHFFFAOYSA-N
5364079,CCNC(=O)NC(=O)/C(=N/OC)/C#N,CCNC(=O)NC(=O)/C(C#N)=N/OC,XERJKGMBORTKEO-VZUCSPMQSA-N
3118,CCOP(=S)(OCC)SCCSCC,CCOP(=S)(OCC)SCCSCC,DOFZAZXDOSGAJZ-UHFFFAOYSA-N
54675779,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(cccc4O)[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,OWFJMIVZYSDULZ-PXOLEDIWSA-N
